Tm,Pos,Age,G,GS,Pass_Cmp,Pass_Att,Pass_Yds,Pass_TD,Pass_Int,Rush_Att,Rush_Yds,Rush_Y/A,Rush_TD,Rec_Tgt,Rec_Rec,Rec_Yds,Rec_Y/R,Rec_TD,Fmb,FmbLost,Scrim_TD,Year,Pass_Y/A,Scrim_Yds,num_games,games_played_pct,games_started_pct,Exp,Touches,Pass_Cmp%,Rec_Catch%,ppg_bin_q4,PPG_half-ppr_pred
LAR,TE,27,7,5,130,136,212,6,5,15,300,5.530296226782485,3,106,63,856,5.533612269812467,0,2,1,7,2017,3.995082362491956,484,16,0.8869699805815641,0.1647061404908643,10,61,0.5808251191451682,0.6354292727910835,Q1,12.375789249147498
CLE,TE,25,11,13,129,30,714,7,3,66,49,7.694261668845948,2,106,16,51,10.791413795948717,0,4,2,7,2017,2.4847388754897506,221,16,0.1765846444132089,0.2880820729356409,3,144,0.5393395137173662,0.623528754370408,Q2,10.614673955325573
ARI,WR,23,5,8,72,69,1829,1,2,139,543,2.6469215320625774,3,60,12,816,3.116626907913608,4,3,1,4,2021,6.784483547153845,889,16,0.702333705626939,0.5099889295118646,2,283,0.037029051415007126,0.29223510613201487,Q4,15.723795090058967
BAL,TE,32,3,2,78,81,353,9,5,45,604,1.2621382721309442,4,73,46,502,15.653997660123368,0,1,2,7,2012,4.5286984073617305,378,16,0.26566779288740494,0.8366812189776666,3,213,0.3958998919275439,0.13368052355173354,Q4,21.633487642611588
DET,WR,27,8,1,163,210,282,4,1,125,7,4.023546070585992,5,52,69,623,5.038119726796697,6,5,3,4,2008,3.7557516718941195,693,17,0.1755413509524878,0.17175314606842063,4,36,0.4962618289345968,0.9611723908966826,Q1,16.34627972709337
2TM,TE,24,7,13,111,241,774,9,1,61,121,4.1326860261957385,0,47,18,132,4.260068170379164,6,4,2,4,2019,5.759985240809799,606,16,0.49900797813149983,0.6121498757095142,3,193,0.353747239357449,0.10479768914339516,Q2,12.864486261583693
BUF,QB,25,4,1,134,248,1135,6,4,156,611,1.3788217842951198,2,13,18,472,11.872108652277618,3,5,3,7,2018,1.8664161840254534,1032,17,0.4256808716540816,0.7533686139505454,3,169,0.6316828922187041,0.5290106000735676,Q2,19.545793373789436
SDG,WR,28,7,4,148,271,1709,0,5,140,372,4.751597997204581,1,11,10,595,10.958715114626049,4,5,2,3,2012,5.916601729392258,143,17,0.9448502587423614,0.9360475203348232,6,118,0.44085661000112064,0.27256859083478024,Q1,11.598286796230331
SEA,TE,24,6,5,129,270,1796,0,6,48,101,0.10946668444538576,2,26,61,403,7.533956791373542,2,5,3,3,2018,0.022094042725507215,134,17,0.36623082507982785,0.11670369167885941,3,40,0.0669226769602511,0.2641406635814547,Q2,10.764992248963743
IND,RB,31,6,3,30,262,128,7,2,122,137,7.1894301190202174,1,95,16,137,10.558019111853158,0,4,2,2,2007,4.472626297666242,353,16,0.8264708678612522,0.9263916341645574,4,353,0.1274270203565173,0.5945862193028131,Q3,12.077259244571525
2TM,RB,30,7,5,92,20,253,6,1,54,446,2.050450653114778,1,16,36,216,2.6625676737289594,4,3,2,4,2014,6.746768029882089,507,16,0.7645253129390732,0.6014675351744795,0,63,0.5309484272191888,0.7979341171788689,Q4,12.827288657039507
JAX,TE,30,11,12,17,38,1448,0,7,96,490,0.3065916150239865,4,26,70,755,11.240501955992032,1,1,2,4,2020,5.686512620373875,351,17,0.6886786281798778,0.766701587432286,9,69,0.6405194464545766,0.7771794828312787,Q4,11.3293479696286
HOU,RB,27,5,0,107,84,496,7,1,105,405,0.8389331714301421,2,62,1,30,4.517558544940373,1,3,3,5,2008,6.161249336633289,898,17,0.9253754434000558,0.05377470956855546,4,52,0.06319316888358886,0.8688016891935535,Q2,11.383773376631716
TAM,RB,29,15,13,157,152,1621,9,1,132,645,1.8619293491672233,5,24,40,627,4.554707259123041,2,4,1,3,2012,2.8650877328923574,288,16,0.44492930723250823,0.5061481556405951,3,205,0.06447198284266953,0.2929027379123671,Q3,12.441312031459645
NOR,WR,28,15,14,84,27,1215,5,2,4,334,2.1227728066968505,0,18,36,883,2.7074220048645734,0,3,2,2,2022,5.949084170482795,100,16,0.42781673685893656,0.6226296740807937,1,160,0.4905552844788014,0.4657513817150738,Q1,8.105143548029316
ARI,RB,29,8,6,71,233,205,5,4,35,203,0.2542774961073972,0,64,57,7,5.548683748224942,3,4,2,7,2019,3.9757208204453933,487,17,0.21338820960766502,0.3068338398728402,6,90,0.04135429439567181,0.009334573220024955,Q3,12.268341366053715
MIN,TE,23,6,2,6,170,1525,0,6,113,323,2.164999794501401,2,42,25,142,5.529885125015475,4,1,3,3,2021,4.464418900852156,909,16,0.3210269457766273,0.43165020810125265,9,155,0.04405697877315359,0.7468576231363655,Q2,15.38514526488921
CHI,WR,27,9,10,158,149,323,8,5,90,243,1.4952984578244863,0,71,29,596,7.582036895356975,5,2,1,7,2009,0.42523143840702976,1000,17,0.8872904275570663,0.554298135279598,0,242,0.5711566895270083,0.30234311214228304,Q2,10.946002360556555
DET,RB,22,14,2,17,45,776,3,5,79,152,2.934312187617519,1,103,12,53,3.1788516703239984,4,3,2,2,2023,1.4547335052139858,862,16,0.5072332496044075,0.5525479397729799,1,101,0.5143719470505718,0.5614935332701865,Q3,9.668576543981466
CHI,WR,27,11,6,7,70,1011,9,1,9,31,2.9850499645087614,5,17,53,521,3.222056111208011,5,2,2,4,2004,3.976678969538538,656,16,0.38251873955379107,0.041861525406838074,1,329,0.5664957035207269,0.1693002820194507,Q1,14.484601368849953
TEN,TE,26,13,15,40,44,917,4,3,55,238,2.627309989672313,1,103,56,605,9.043750882705227,2,1,3,4,2012,0.424406592239478,852,17,0.26510505163953546,0.4394817665788924,6,110,0.41802226709048995,0.8193995071343285,Q3,11.726315271224088
TAM,RB,24,9,16,11,234,1257,6,3,138,481,2.541410097362956,1,102,10,520,2.151471582817114,5,1,1,7,2012,5.351517883492678,801,16,0.517150234603389,0.21381815479223087,9,71,0.20726307233040145,0.8172722192782778,Q2,12.419498149124047
CAR,RB,23,10,12,75,161,1195,3,1,5,12,0.695417402494697,3,94,28,323,11.500404900031796,3,4,2,1,2019,6.06325371464998,276,17,0.7343737848104958,0.9166950780853498,4,344,0.5824001369915086,0.8774529147529555,Q4,10.202523394326287
CLE,WR,28,5,5,85,202,1817,2,2,63,297,0.1953383402277568,2,71,63,616,15.758196110233468,1,2,2,7,2021,6.642871197234066,648,16,0.3312737738660082,0.9765799901233341,3,292,0.19196081853758803,0.04593699710672283,Q2,18.92269789483656
NYG,RB,24,12,11,51,81,1830,8,2,150,436,1.566385826212616,3,70,0,525,7.124900241663818,6,0,3,4,2017,0.7345310876482923,906,16,0.7728592382618633,0.2996468963520691,8,124,0.17704426279201677,0.9924587097750137,Q3,11.809505466355288
DAL,QB,32,4,11,8,102,946,5,1,8,413,5.864033062478769,2,72,21,184,15.042997485294178,2,0,3,5,2015,6.782590022766882,373,17,0.652926038804611,0.17518539725105875,7,303,0.5696041181720432,0.24777941443969453,Q1,12.597266144468783
ATL,RB,28,11,6,18,111,174,5,4,119,525,7.678775683021196,4,78,39,498,1.6412912136739006,0,2,2,4,2010,0.4880588558678676,769,16,0.8008399023809727,0.21950415094834308,2,187,0.4374990625363871,0.30943368604734944,Q4,10.763771262239427
BUF,RB,26,14,10,63,209,1333,10,5,41,548,7.1960778566943,1,2,24,780,0.7171320279164423,1,1,2,0,2012,3.421581015358318,566,16,0.2977277770702303,0.47775225535295374,2,125,0.575562123996663,0.2493357291904461,Q2,13.182245949386838
CHI,TE,29,3,0,10,212,1789,10,0,138,481,3.907700005417707,2,108,19,589,12.042488321890135,2,4,1,4,2012,6.064654029878486,592,17,0.65408888568723,0.8745055991131784,4,302,0.10018273284241445,0.2675326983665324,Q3,19.005017720035056
TEN,RB,22,10,3,115,57,583,9,3,119,70,4.1216348822789906,3,66,33,417,12.70444801683353,2,4,3,2,2001,0.5074825491097474,106,17,0.2066268245207893,0.5000362149376396,8,271,0.6119493695900281,0.5526613561036466,Q2,13.859692158034658
SDG,RB,33,2,8,34,259,845,2,5,141,321,2.4380071600277797,4,88,13,284,14.073963180243407,3,1,1,3,2012,0.13158585655633867,783,17,0.40355967077934696,0.05539206171529765,7,107,0.3937503280424577,0.23981054430377957,Q2,14.621705571344155
SFO,WR,27,12,3,50,33,778,6,5,34,408,5.998030649441836,2,43,38,76,0.9485108797136292,5,3,2,5,2020,0.1800643844234994,1018,16,0.7415875889151262,0.03988560271314401,7,218,0.42928173764334115,0.3937713114004048,Q4,11.27203673662509
SFO,WR,31,2,3,65,246,94,9,6,84,166,5.9268643314780265,3,1,50,216,12.969639290173271,2,1,2,4,2017,3.6901795318688713,166,16,0.6546891114811899,0.22739094562284856,8,133,0.5873786378472422,0.6556065824432153,Q4,14.868259995831497
NWE,TE,23,15,13,68,28,1231,4,3,124,29,6.543110771263946,0,58,41,10,6.285914784776876,3,2,1,1,2019,5.857836940295287,431,17,0.23861943000392682,0.8427712776094288,3,0,0.2446732398771015,0.8360262035777268,Q4,8.711765992575561
SFO,QB,27,3,16,0,73,647,1,6,39,151,6.940160473275854,1,57,7,872,5.0639000558976734,2,4,1,1,2010,0.9197235769580244,57,16,0.867196255086746,0.621480557535144,3,346,0.4624014964767875,0.6927415002668795,Q1,7.574577283187735
JAX,QB,27,15,9,18,233,1442,8,2,37,308,3.366206673746042,0,49,60,197,2.8884508566067355,5,3,1,1,2013,0.899395610377262,35,16,0.11251654594860801,0.5629578537862915,0,198,0.4114852011887729,0.5943228447873232,Q2,12.21498417617472
DET,QB,32,13,13,142,49,1524,5,3,4,280,5.943285652830781,4,38,12,720,16.62742665109037,1,4,3,2,2002,4.103583204309803,1164,17,0.6205147079843589,0.3189695925826421,9,215,0.5062127488341038,0.1477285625410687,Q1,10.948581662782017
DAL,RB,28,10,16,0,114,1504,6,1,152,119,6.249590148168059,1,28,54,149,1.0627961016897567,1,1,2,5,2009,1.691068174585687,580,16,0.9848317189671308,0.9294254050461873,6,216,0.5763786849945884,0.8161156015412826,Q4,8.321894468791722
BAL,WR,27,13,2,84,124,763,10,3,113,558,2.3905620743575637,4,60,26,251,13.806021674168088,3,2,0,1,2011,5.270441288140461,418,16,0.5607856861025768,0.33117824496213244,3,198,0.4370095675421172,0.037274887993038686,Q3,13.753639647759686
DEN,RB,25,13,7,80,67,589,6,3,101,626,7.201627391047662,0,42,56,370,10.675681348840353,4,2,2,7,2007,6.854154225862443,323,16,0.8131298312119569,0.8349444126529467,1,104,0.04346542258108854,0.2641916632353021,Q1,11.285294356532136
NYJ,QB,26,15,6,55,195,1371,4,2,118,136,0.7311466454573299,4,110,15,287,12.271388386177655,5,2,1,2,2002,5.5289758325905805,1152,16,0.6204821623647833,0.8959035179758841,7,350,0.11768664921716432,0.05705891693196119,Q2,13.035398607225911
CHI,TE,28,5,1,71,234,1468,4,5,85,629,7.705586138515442,4,20,13,706,11.881362465603566,4,5,3,1,2016,6.331161748122907,297,17,0.7966452952403056,0.4833350132161367,7,224,0.613029833357329,0.6674289755844626,Q4,15.380826227254285
OAK,RB,27,10,12,128,241,900,4,2,76,12,5.968203065731238,0,36,35,847,14.330653267479281,5,1,1,7,2011,3.7502003574673264,853,17,0.6771195018955818,0.8942892694807426,7,242,0.6224583007388843,0.3683710825935145,Q4,12.366477909314572
ATL,TE,22,2,7,138,93,1636,1,2,71,626,0.7228495162635362,0,33,2,774,3.0682136752645475,2,4,1,2,2010,6.007405523526769,334,16,0.7104362636289332,0.2768032873910471,2,164,0.6216632974506876,0.6520484832048667,Q3,13.602301814054112
MIA,TE,31,10,8,43,146,264,8,1,102,644,5.085779772813755,0,61,16,136,0.013766103461459818,0,4,0,3,2006,1.3201347033338244,83,16,0.27607295414348504,0.6584334261832758,9,104,0.023647427912159628,0.3470309593035903,Q1,12.071888896595912
ATL,QB,32,4,2,53,68,1610,8,3,32,8,0.2648904346940162,4,56,51,687,9.991798321634406,1,3,2,8,2013,0.4933124729938767,804,17,0.7579571064746103,0.08796374852438626,8,23,0.24576257719928482,0.4557407307994942,Q2,14.844939142454962
ARI,TE,24,9,3,40,67,176,3,2,141,516,5.968948858192417,1,73,59,131,5.907294678885597,0,2,1,8,2011,4.7344526517285965,2,16,0.2855405187478101,0.4739342140923939,7,126,0.4881684296229436,0.45796101016618085,Q1,13.76911319210175
BUF,RB,28,10,15,79,44,281,3,3,129,656,6.1939776428576785,3,107,6,807,2.0664982034070047,2,3,2,6,2011,0.37497599353483296,795,16,0.9818502579461763,0.2173318021583479,7,63,0.4838071429019763,0.0455806536675446,Q2,9.862373572231347
SEA,WR,23,8,1,112,259,978,9,2,56,613,4.668679461458719,2,32,63,458,3.1073890798795514,3,1,1,1,2014,6.441635775857789,294,17,0.27605049152612937,0.06276327793060288,9,238,0.05520537331391422,0.43022652634600356,Q2,16.86385593240355
DET,RB,29,9,4,38,244,124,0,5,92,657,6.6406680373534215,4,78,57,297,5.53820291617533,2,4,1,5,2001,4.991409164847572,877,17,0.2843912533728028,0.0037255080776207317,9,316,0.39165976521360907,0.6410643631152027,Q3,15.276507952258811
NWE,WR,25,12,5,54,214,97,5,7,22,372,0.7585954216651627,2,3,62,139,1.1724716370146913,3,2,1,8,2021,6.872669981750969,905,16,0.8675060504536226,0.32475211644080837,6,109,0.09180853406708876,0.5460522460754338,Q1,10.074909526872634
NOR,QB,29,13,8,153,142,1,5,3,155,53,2.1384097758163025,3,30,50,10,0.9501055470473811,3,5,1,8,2003,2.265530095652632,852,17,0.2902992455901429,0.5895305945367628,4,120,0.3169381027349047,0.07528376627828726,Q2,11.474748178395144
TAM,RB,30,8,9,8,135,799,7,5,144,575,3.2098757923431966,5,52,48,219,15.292086781430108,4,3,3,1,2011,3.508929922936093,29,16,0.4008463688980778,0.45523034765115733,4,241,0.15402289903065128,0.6680559856867488,Q1,14.384915237540696
STL,RB,30,10,8,76,146,1419,2,6,147,415,0.3290491344177616,1,4,37,808,5.210224382392462,4,3,0,3,2006,5.353275807903306,828,17,0.7324751511053378,0.3017692985194961,8,54,0.03416156140193198,0.30886275491526094,Q2,11.736743853977249
MIN,WR,23,15,1,117,148,64,7,7,53,416,3.4736746786765376,4,70,46,705,16.397299734490847,2,4,3,3,2013,1.7522984398693884,1164,17,0.21132679393259052,0.9912000307762511,6,335,0.051420772516360326,0.014434802779022093,Q3,15.367818222594181
PIT,RB,32,3,4,25,120,1195,4,4,27,282,2.0554042848723864,0,77,65,857,16.099084390582345,2,3,1,1,2007,3.9108856160862784,285,17,0.21162977015078335,0.9395250399796778,1,131,0.5853431069589762,0.15559555708424522,Q3,18.15470755403439
CHI,RB,25,3,13,8,36,1508,6,6,34,387,3.043696343788586,2,84,7,89,2.3800763464850605,4,5,0,6,2020,4.759816731846024,323,17,0.5184610218124552,0.12565330683749687,1,36,0.47851219223886926,0.4975596573165595,Q2,12.596554034063026
PIT,WR,22,2,10,23,35,308,0,6,14,104,3.294545397940375,4,58,22,523,11.934902983803381,4,1,1,2,2010,7.064717215382702,957,17,0.2909657070931814,0.41510742666849476,9,63,0.5987934639208619,0.31040165903006867,Q1,15.532238591330811
PHI,QB,28,11,10,151,262,269,5,6,19,500,6.815440934529559,3,68,5,227,10.029800406669771,2,5,0,3,2015,5.375022134595398,189,16,0.283429333345969,0.6488469339936108,9,336,0.3020172318966055,0.6943830137535508,Q3,13.144802803404227
DEN,WR,26,7,11,2,133,1577,5,3,11,51,2.0951425215892026,3,45,67,480,11.529620381019065,2,4,2,1,2006,0.8526294162221516,777,16,0.07116148882985564,0.7334907975299367,10,89,0.26558325595955673,0.24065347556576444,Q4,16.378769862227337
BAL,RB,31,13,12,31,262,1508,2,1,157,494,6.926509247551108,1,5,32,283,1.6058067244840655,4,4,2,4,2001,3.430799678545997,888,17,0.4097964917480762,0.3663721549094904,4,238,0.2303138236080728,0.7727961684751686,Q4,11.8891050352868
NWE,WR,31,11,1,5,45,987,1,0,12,574,3.3012749772995815,2,11,48,251,3.1478105248417587,4,2,1,1,2010,4.249552828944499,44,17,0.360859894954753,0.7462818127353477,8,56,0.39604117097509867,0.28647718139397993,Q4,13.147167783281855
CHI,RB,25,6,6,18,152,1500,2,3,21,320,2.5405098353783915,2,74,60,507,1.2794011694936551,1,4,2,3,2013,1.0582773628544324,651,16,0.09170857265000351,0.12415001291067829,8,70,0.22591333472436115,0.6208637075844157,Q4,16.260091640052003
MIN,TE,32,14,9,102,57,170,3,3,132,345,3.894468382347382,3,112,70,162,10.085379807699532,3,2,2,1,2011,3.117788165593221,677,17,0.6449061045753095,0.3318126252577047,3,317,0.47955788169057095,0.7992163802511801,Q1,10.25214094559478
LAC,QB,25,12,5,40,70,722,1,3,92,211,3.2375104693120074,2,2,11,415,16.470091626826193,5,4,3,8,2022,2.049860073080366,357,17,0.6499892331281444,0.716433175755905,1,53,0.5149294146214771,0.3855561286437489,Q4,9.610734064782104
SEA,WR,28,5,14,94,8,1351,9,4,123,656,1.994635426177382,2,63,57,575,11.218069145326059,0,1,3,1,2017,0.8576579085872508,1031,16,0.1288754422878052,0.6256827902603751,10,7,0.562820906324051,0.04680494181547046,Q4,15.89920877505094
2TM,QB,25,6,8,97,33,472,4,4,100,496,3.895764767169519,2,85,63,113,11.865409989199426,5,2,2,4,2023,3.695749364190806,191,16,0.35972646522761226,0.8372102148616549,0,180,0.156024756722995,0.5354455210588809,Q4,15.875636611767703
SEA,TE,32,6,12,140,252,1378,8,6,140,250,1.1764634313609423,1,93,3,823,16.436603011702836,1,2,2,2,2007,1.195484810589306,428,16,0.8807551862456854,0.04685702266715508,6,311,0.3386662767124904,0.9954090615445003,Q4,10.847172989235263
SEA,WR,24,3,14,1,88,923,10,1,102,118,2.727457058427987,2,62,54,447,11.318683793734621,3,2,2,1,2018,4.262303748345918,998,16,0.6082816264792923,0.17439171782304852,7,117,0.14358631958748058,0.9689918663769136,Q3,14.792881912869172
LAC,WR,22,3,8,140,167,1374,1,2,83,149,4.384874200149202,1,70,25,724,0.6707887382128578,3,2,1,2,2013,1.2248163450128173,224,16,0.4487263037612386,0.04849458227196646,7,46,0.024133508083231326,0.22102219394416822,Q4,12.422216992226783
ATL,WR,27,15,15,102,128,851,7,6,113,314,3.203913894021404,4,79,46,578,14.47373895490605,0,4,2,0,2014,5.222668895003081,966,16,0.49853305793508995,0.19211422424921132,3,354,0.4548511028104968,0.7556965094242524,Q3,10.90776296582762
ARI,QB,33,8,9,27,110,674,9,6,71,638,6.385320798143672,3,97,36,628,6.087917277869058,5,1,0,1,2023,1.4091894765235766,93,16,0.25776249478356733,0.004282810632935008,7,244,0.35277735396103893,0.34495183182006595,Q1,14.73953053873774
ARI,WR,32,7,14,127,146,401,6,7,55,497,1.9895936518975383,1,14,18,633,0.07284603310474834,3,4,2,4,2015,6.4690894921862165,575,16,0.8236389069136825,0.5042103016788663,2,306,0.4651982904814529,0.16027248018309148,Q1,9.973357149945524
SEA,RB,30,12,5,141,51,382,4,6,74,146,7.515729735940328,3,105,10,774,8.467736618735032,6,0,3,5,2021,0.1891704691956128,89,17,0.9193794113602821,0.5283143955682554,8,271,0.05630680006767156,0.6659147006024932,Q1,9.9197408159334
NOR,TE,32,9,8,42,272,1376,4,6,27,581,6.081595661597973,4,3,8,542,15.642471635840415,2,4,0,1,2017,3.767604536282046,797,16,0.9162475396094159,0.6578917814059948,2,251,0.6397287265028241,0.500868729526769,Q1,12.520010517807926
CAR,QB,32,15,9,151,225,218,0,2,127,256,7.498845951480409,1,94,7,246,4.295862896233826,5,4,3,4,2004,2.310410354475563,930,17,0.27243849221153094,0.38491244720104345,7,138,0.6389719886947882,0.5392305576556773,Q4,10.274820130093891
MIA,RB,28,13,2,75,204,157,5,3,41,576,6.495558299934857,1,9,45,88,8.205291122266956,6,2,3,5,2016,1.6245279393412977,999,17,0.35381900104042835,0.003207690685184006,8,117,0.2988105711832704,0.8273926622355084,Q4,13.32493271898075
DEN,TE,25,8,6,99,129,323,10,2,24,163,1.1013054253502306,0,22,25,536,2.9010208327066387,3,4,1,2,2012,3.4038729200576485,1154,17,0.21308385138394076,0.6738911544076371,2,258,0.5565324655382616,0.33654367588742307,Q2,17.7409029418928
GNB,WR,30,7,15,162,42,321,10,4,39,418,4.080065702421357,0,0,15,59,0.9631179642739955,1,5,2,3,2021,6.0774185913988745,790,17,0.3505010627802936,0.05429108774791258,2,258,0.15651803568686048,0.667094759555663,Q3,11.30184054073478
ATL,QB,29,16,10,59,253,1507,0,7,134,627,1.3173335392673393,4,50,49,213,1.3446124589167896,4,4,3,1,2019,6.606168224354764,904,17,0.3745050363649378,0.8661704308177439,8,342,0.4739626852159337,0.3661914669626253,Q3,12.462165989942282
ATL,WR,26,12,3,134,94,730,7,2,53,174,6.341261982861244,5,38,49,54,12.136676002851841,3,2,3,2,2003,2.188748253743617,595,16,0.6560366284980957,0.022653987707937362,1,205,0.5649937184150132,0.04272389658042919,Q2,11.149071058301724
BUF,WR,23,15,5,52,14,1814,3,4,109,469,4.527256656170543,0,19,38,485,14.424806846419695,6,2,0,4,2004,1.1132794621576279,1073,17,0.24029348270136686,0.5304751232566325,2,106,0.5235074917022752,0.3780151073363489,Q1,14.29860853329465
DAL,QB,30,3,3,131,94,251,9,2,136,668,2.0417321862660196,4,51,66,142,2.39222213770295,3,4,1,8,2003,5.197735629226969,757,16,0.9244346165947596,0.8949178823855207,5,176,0.5216489613267192,0.9500344632041346,Q1,17.66912871428825
BAL,WR,25,14,0,99,218,1197,0,1,12,102,7.204392033055578,0,45,27,540,4.8131726971753706,2,1,2,8,2012,4.200674356912497,1039,17,0.15915575320497807,0.5724895757887801,9,221,0.29754258995199256,0.48326248208841704,Q4,14.820576296622555
CIN,WR,32,11,15,36,171,822,9,1,122,60,0.8926919131855203,3,87,59,699,3.2558101128950114,1,4,1,8,2003,1.4508680932480684,277,16,0.06894813534468724,0.60841674654393,6,154,0.5269285088333097,0.10823043683686817,Q3,13.370926629594393
JAX,RB,25,3,7,68,206,720,8,0,49,456,4.369933626902683,4,101,5,727,0.4483287123869439,4,2,1,3,2017,5.487563599362194,584,16,0.8640110580911249,0.6816108483374057,4,285,0.44384941322170385,0.6878268293762259,Q4,16.627436508586
GNB,WR,23,10,5,52,218,1603,1,7,34,230,5.588064298667122,2,74,53,274,9.238949747598161,6,4,0,1,2013,3.7454682922805604,858,16,0.7222841947806716,0.12240884773046701,10,210,0.08511374792589786,0.9633793497185212,Q3,11.912302600599244
KAN,WR,31,11,10,13,58,1787,1,3,110,48,0.45607616432634634,0,14,70,485,11.684458288752426,0,0,0,3,2019,4.71599049869062,238,17,0.39564987845874855,0.6749271008105595,5,3,0.0733753114031714,0.9079452465442571,Q1,10.431377901073276
NOR,RB,24,1,0,5,254,1599,8,6,145,321,4.633384257348078,3,33,60,498,10.815627400593495,4,0,2,2,2007,2.5935903282693085,249,16,0.6207809742907356,0.8803548820128152,4,205,0.4960399589352048,0.5719608378081387,Q1,19.51810007091669
SEA,TE,24,8,4,57,120,352,2,5,47,510,6.32323441983898,5,103,41,418,6.478142400266916,6,5,2,0,2012,3.1692610056844335,1150,16,0.2720725945367813,0.9742208328353165,4,228,0.4019254876461223,0.3762807443485312,Q3,19.13343311892551
NYJ,TE,29,13,11,3,176,404,5,1,90,193,0.5233366867399136,1,10,45,579,9.265307408736177,0,4,2,1,2004,1.3016496342356654,511,16,0.22036529560503998,0.44305199935834705,3,329,0.3337529730658626,0.5806776685092404,Q2,10.847996174442104
JAX,WR,32,5,10,27,1,1202,9,1,46,227,3.96988302607636,1,46,25,186,1.570888121996854,1,4,2,4,2020,5.46028138347789,214,16,0.5042023141925527,0.34450485167754685,3,149,0.5830097111170792,0.8159310621992495,Q3,12.930676081272214
NWE,RB,24,8,16,119,273,529,6,6,88,572,2.003818130652735,1,107,48,866,2.575936928615966,4,5,1,3,2005,1.133255820435958,390,17,0.3936135903634008,0.753309615596317,7,207,0.42385515106430316,0.8612373420184543,Q2,13.258764547693827
LAC,TE,25,8,10,116,77,1346,4,2,99,352,5.1376644994111365,3,107,55,87,15.55532290641632,4,2,1,1,2003,5.617530775737892,467,17,0.6392781723768364,0.5428742880953146,0,171,0.2545653324580316,0.8188438849424412,Q3,12.914076045849988
